Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,1,0,5,6,0.833333
2,1,1,12,14,0.857143
3,1,0,5,5,1
4,0,1,32,35,0.914286
5,1,0,5,5,1
6,0,0,1,1,1
7,1,1,23,27,0.851852
8,1,1,23,25,0.92
9,1,1,26,28,0.928571
10,1,1,30,32,0.9375
11,1,1,27,28,0.964286
12,0,1,42,43,0.976744
13,1,1,26,30,0.866667
14,1,0,1,2,0.5
15,0,1,26,26,1
16,1,0,0,0,-nan
17,1,1,22,27,0.814815
18,1,0,3,3,1
19,1,0,5,5,1
20,1,1,28,30,0.933333
