NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio
1,1,1,57,57,1
2,0,0,0,1,NA
3,1,0,0,0,NA
4,0,0,0,0,NA
5,0,1,0,3,NA
6,1,1,0,2,NA
7,0,1,0,4,NA
8,0,0,0,1,NA
9,1,1,0,1,NA
10,0,1,0,0,NA
11,0,1,0,2,NA
12,1,0,0,0,NA
13,0,0,0,0,NA
14,1,1,0,3,NA
15,1,0,0,0,NA
16,1,1,0,1,NA
17,0,0,0,0,NA
18,1,0,0,0,NA
19,0,1,0,4,NA
20,0,0,0,0,NA
21,0,0,0,0,NA
22,0,1,1,2,0.5
23,1,1,0,1,NA
24,1,1,0,1,NA
25,0,1,0,1,NA
26,1,1,0,3,NA
27,1,1,1,2,0.5
28,1,1,0,0,NA
29,1,1,0,1,NA
30,1,0,0,0,NA
31,0,1,0,1,NA
32,0,0,0,0,NA
33,0,1,0,3,NA
34,1,1,1,2,0.5
35,0,0,0,0,NA
36,1,1,0,1,NA
37,0,0,0,1,NA
38,1,0,0,0,NA
39,1,0,0,1,NA
40,0,1,0,0,NA
41,0,1,0,1,NA
42,1,0,0,1,NA
43,1,1,0,1,NA
44,1,1,0,1,NA
45,0,1,0,0,NA
46,0,1,0,1,NA
47,1,0,0,0,NA
48,1,1,0,2,NA
49,0,0,0,0,NA
50,0,1,1,1,1
51,1,1,1,2,0.5
