NodeId,SpeedNode,CpuUsageNode,BlocksMinedInLongestChain,TotalBlocksMined,Ratio,Hashing Power
1,1,1,44,55,0.8,0.5
2,1,0,0,1,NA,0.0015625
3,1,1,3,3,1,0.015625
4,1,0,0,1,NA,0.0015625
5,0,0,0,1,NA,0.0015625
6,1,1,3,3,1,0.015625
7,1,1,1,2,0.5,0.015625
8,1,0,0,0,NA,0.0015625
9,1,1,1,1,1,0.015625
10,1,1,0,1,NA,0.015625
11,1,1,1,1,1,0.015625
12,1,1,1,1,1,0.015625
13,0,0,0,1,NA,0.0015625
14,1,0,0,0,NA,0.0015625
15,1,1,0,3,NA,0.015625
16,0,1,0,1,NA,0.015625
17,1,1,3,3,1,0.015625
18,1,1,3,4,0.75,0.015625
19,1,1,1,2,0.5,0.015625
20,1,0,1,1,1,0.0015625
21,1,1,2,3,0.666667,0.015625
22,1,1,0,2,NA,0.015625
23,1,0,0,0,NA,0.0015625
24,1,1,3,4,0.75,0.015625
25,1,1,1,1,1,0.015625
26,0,0,0,0,NA,0.0015625
27,0,1,0,1,NA,0.015625
28,1,0,0,0,NA,0.0015625
29,1,0,0,0,NA,0.0015625
30,1,0,0,0,NA,0.0015625
31,1,0,0,0,NA,0.0015625
32,1,1,0,0,NA,0.015625
33,1,0,0,0,NA,0.0015625
34,1,1,1,3,0.333333,0.015625
35,0,0,0,0,NA,0.0015625
36,0,1,1,1,1,0.015625
37,1,1,0,1,NA,0.015625
38,1,1,3,5,0.6,0.015625
39,1,1,1,1,1,0.015625
40,1,0,0,0,NA,0.0015625
41,1,1,1,2,0.5,0.015625
42,1,1,1,2,0.5,0.015625
43,1,1,1,1,1,0.015625
44,0,1,1,2,0.5,0.015625
45,1,0,0,0,NA,0.0015625
46,0,1,2,4,0.5,0.015625
47,1,1,0,1,NA,0.015625
48,1,0,0,0,NA,0.0015625
49,1,1,0,0,NA,0.015625
50,1,0,0,0,NA,0.0015625
51,0,0,1,1,1,0.0015625
