Node,Speed(0 - slow | 1 - fast),CPU_Usage(0 - low | 1 - high),#Blocks Mined in Longest Chain, #Total Blocks Mined in Blockchain, Ratio of #BlocksMinedInLongestChain vs #TotalMinedBlocks
1,0,0,0,0,-nan
2,1,1,15,16,0.9375
3,0,0,1,1,1
4,1,1,13,18,0.722222
5,1,0,3,3,1
6,1,1,14,16,0.875
7,1,0,1,1,1
8,1,1,14,16,0.875
9,1,1,14,15,0.933333
10,1,1,13,15,0.866667
11,1,0,1,1,1
12,0,0,2,3,0.666667
13,0,0,2,3,0.666667
14,1,0,1,1,1
15,1,0,1,2,0.5
16,1,0,0,0,-nan
17,1,1,8,11,0.727273
18,1,0,2,3,0.666667
19,1,1,9,10,0.9
20,1,0,1,1,1
